* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Sep 28 2024 16:22:59

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, Dout[1], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
2, PIO, Dout[10], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
3, PIO, Dout[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
4, PIO, Dout[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, Dout[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
8, PIO, Dout[5], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
9, PIO, Dout[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
10, PIO, Dout[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
11, PIO, Dout[8], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
12, PIO, Read_enable, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
15, PIO, Write_enable, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
16, PIO, not used, , , , , , leftBank
17, PIO, Empty, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
18, PIO, Full, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
19, PIO, Reset, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
20, PIO_GBIN, Clock, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, leftBank
21, PIO_GBIN, Dout[9], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
22, PIO, Din[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
23, PIO, Din[10], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
24, PIO, Din[2], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
25, PIO, Din[3], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
26, PIO, Din[4], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, Din[5], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
29, PIO, Din[6], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, Din[7], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
32, PIO, Din[8], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
33, PIO, Din[9], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
34, PIO, Din[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
37, PIO, not used, , , , , , bottomBank
38, PIO, not used, , , , , , bottomBank
39, PIO, not used, , , , , , bottomBank
40, VCC, not used, , , , , , UnknownBank
41, PIO, not used, , , , , , bottomBank
42, PIO, not used, , , , , , bottomBank
43, PIO, not used, , , , , , bottomBank
44, PIO, not used, , , , , , bottomBank
45, PIO, not used, , , , , , bottomBank
46, VCCIO_2, not used, , , , , , bottomBank
47, PIO, not used, , , , , , bottomBank
48, PIO, not used, , , , , , bottomBank
49, PIO_GBIN, not used, , , , , , bottomBank
52, PIO_GBIN, not used, , , , , , bottomBank
53, AGND_BOT, not used, , , , , , UnknownBank
54, AVDD_BOT, not used, , , , , , UnknownBank
55, PIO, not used, , , , , , bottomBank
56, PIO, not used, , , , , , bottomBank
57, VCCIO_2, not used, , , , , , bottomBank
59, GND, not used, , , , , , UnknownBank
60, PIO, not used, , , , , , bottomBank
61, PIO, not used, , , , , , bottomBank
62, PIO, not used, , , , , , bottomBank
63, PIO, not used, , , , , , bottomBank
64, PIO, not used, , , , , , bottomBank
65, CDONE, not used, , , , , , bottomBank
66, CRESET_B, not used, , , , , , bottomBank
67, SPI_SO, not used, , , , , , bottomBank
68, SPI_SI, not used, , , , , , bottomBank
69, GND, not used, , , , , , UnknownBank
70, SPI_SCK, not used, , , , , , bottomBank
71, SPI_SS_B, not used, , , , , , bottomBank
72, VDDIO_SPI, not used, , , , , , bottomBank
73, PIO, not used, , , , , , rightBank
74, PIO, not used, , , , , , rightBank
75, PIO, not used, , , , , , rightBank
76, PIO, not used, , , , , , rightBank
77, TRST_B, not used, , , , , , rightBank
78, PIO, not used, , , , , , rightBank
79, PIO, not used, , , , , , rightBank
80, PIO, not used, , , , , , rightBank
81, PIO, not used, , , , , , rightBank
82, PIO, not used, , , , , , rightBank
83, PIO, not used, , , , , , rightBank
84, PIO, not used, , , , , , rightBank
85, PIO, not used, , , , , , rightBank
86, GND, not used, , , , , , UnknownBank
87, PIO, not used, , , , , , rightBank
88, PIO, not used, , , , , , rightBank
89, VCCIO_1, not used, , , , , , rightBank
90, PIO, not used, , , , , , rightBank
91, PIO, not used, , , , , , rightBank
92, VCC, not used, , , , , , UnknownBank
93, PIO_GBIN, not used, , , , , , rightBank
94, PIO_GBIN, not used, , , , , , rightBank
95, PIO, not used, , , , , , rightBank
96, PIO, not used, , , , , , rightBank
97, PIO, not used, , , , , , rightBank
98, PIO, not used, , , , , , rightBank
99, PIO, not used, , , , , , rightBank
100, VCCIO_1, not used, , , , , , rightBank
101, PIO, not used, , , , , , rightBank
102, PIO, not used, , , , , , rightBank
103, GND, not used, , , , , , UnknownBank
104, PIO, not used, , , , , , rightBank
105, PIO, not used, , , , , , rightBank
106, PIO, not used, , , , , , rightBank
107, PIO, not used, , , , , , rightBank
108, VPP_PUMP, not used, , , , , , UnknownBank
109, VPP_DIRECT, not used, , , , , , UnknownBank
110, PIO, not used, , , , , , topBank
111, VCC, not used, , , , , , UnknownBank
112, PIO, not used, , , , , , topBank
113, PIO, not used, , , , , , topBank
114, PIO, not used, , , , , , topBank
115, PIO, not used, , , , , , topBank
116, PIO, not used, , , , , , topBank
117, PIO, not used, , , , , , topBank
118, PIO, not used, , , , , , topBank
119, PIO, not used, , , , , , topBank
120, PIO, not used, , , , , , topBank
121, PIO, not used, , , , , , topBank
122, PIO, not used, , , , , , topBank
123, VCCIO_0, not used, , , , , , topBank
124, PIO, not used, , , , , , topBank
125, PIO, not used, , , , , , topBank
126, AVDD_TOP, not used, , , , , , UnknownBank
127, AGND_TOP, not used, , , , , , UnknownBank
128, PIO_GBIN, not used, , , , , , topBank
129, PIO_GBIN, not used, , , , , , topBank
130, PIO, not used, , , , , , topBank
131, VCCIO_0, not used, , , , , , topBank
132, GND, not used, , , , , , UnknownBank
134, PIO, not used, , , , , , topBank
135, PIO, not used, , , , , , topBank
136, PIO, not used, , , , , , topBank
137, PIO, not used, , , , , , topBank
138, PIO, not used, , , , , , topBank
139, PIO, not used, , , , , , topBank
140, GND, not used, , , , , , UnknownBank
141, PIO, not used, , , , , , topBank
142, PIO, not used, , , , , , topBank
143, PIO, not used, , , , , , topBank
144, PIO, Dout[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
Total Number of Used Pins, 28
